Month,Tuition Revenue,State Appropriation,Federal Grants,Research Grants,Donations & Endowments,Auxiliary Services Income,Continuing Education Fees,Faculty Salaries,Staff Salaries,Scholarship Disbursements,Facilities Maintenance,Utility Expenses,IT Infrastructure Costs,Academic Program Costs,Student Services,Administrative Expenses,Marketing & Outreach,Debt Service,Total Inflow,Total Outflow,Net Cash Flow
Jan-2023,3599343.0,1918343.0,834362.0,1192835.0,314806.0,563283.0,210395.0,1470553.0,1021409.0,538174.0,352449.0,287372.0,261240.0,391271.0,175235.0,195580.0,131022.0,508421.0,8633367.0,5332726.0,3300641.0
Feb-2023,3472347.0,2016638.0,623696.0,1512929.0,313053.0,427249.0,231273.0,1409552.0,875426.0,581055.0,393116.0,237611.0,225092.0,390675.0,190358.0,225982.0,153760.0,536011.0,8597185.0,5218638.0,3378547.0
Mar-2023,3629538.0,1827351.0,832408.0,676051.0,300256.0,612224.0,150522.0,1393258.0,1017318.0,561171.0,430299.0,381621.0,241675.0,415274.0,212388.0,176737.0,158544.0,549813.0,8028350.0,5538098.0,2490252.0
Apr-2023,3804606.0,2056355.0,761492.0,1364381.0,288271.0,387852.0,147182.0,1402103.0,1038532.0,606550.0,451945.0,228493.0,230280.0,351050.0,183088.0,192051.0,196904.0,421275.0,8810139.0,5302271.0,3507868.0
May-2023,3453169.0,1909904.0,732308.0,1217409.0,229231.0,546949.0,220878.0,1490748.0,911614.0,785173.0,327982.0,277998.0,226425.0,384098.0,175333.0,200704.0,173761.0,392612.0,8309848.0,5346448.0,2963400.0
Jun-2023,3453173.0,1956246.0,861168.0,1140199.0,278968.0,675236.0,211879.0,1540938.0,1015373.0,450619.0,379930.0,306537.0,283984.0,334487.0,207311.0,167963.0,135577.0,589437.0,8576869.0,5412156.0,3164713.0
Jul-2023,3815843.0,1909744.0,903100.0,1218352.0,282864.0,420757.0,210020.0,1533203.0,1005821.0,654901.0,371503.0,372064.0,264281.0,366208.0,207349.0,186723.0,127540.0,523262.0,8760680.0,5612855.0,3147825.0
Aug-2023,3653487.0,2277842.0,893128.0,802486.0,259886.0,454696.0,213858.0,1599262.0,885703.0,470983.0,360800.0,228207.0,222284.0,343493.0,184792.0,180378.0,162298.0,447606.0,8555383.0,5085806.0,3469577.0
Sep-2023,3406105.0,1997975.0,716078.0,1156066.0,291936.0,507972.0,172799.0,1501560.0,1035779.0,562245.0,505927.0,358158.0,285984.0,354850.0,185869.0,182930.0,116994.0,608581.0,8248931.0,5698877.0,2550054.0
Oct-2023,3608512.0,1841343.0,769079.0,1271423.0,320203.0,459722.0,209290.0,1674424.0,1056078.0,687116.0,424299.0,300512.0,262292.0,379758.0,206961.0,156810.0,195786.0,508097.0,8479572.0,5852133.0,2627439.0
Nov-2023,3407316.0,2123382.0,833126.0,1495579.0,394309.0,375947.0,211723.0,1468241.0,1108305.0,605142.0,324347.0,250925.0,282514.0,309089.0,156557.0,180735.0,179486.0,582551.0,8841382.0,5447892.0,3393490.0
Dec-2023,3406854.0,1816873.0,897555.0,1096346.0,308729.0,505485.0,171426.0,1826420.0,1105380.0,513780.0,455072.0,323105.0,275185.0,454619.0,157776.0,194940.0,138271.0,504726.0,8203268.0,5949274.0,2253994.0
Jan-2024,3548392.0,2031330.0,752083.0,1038301.0,312878.0,415016.0,274631.0,1575080.0,862233.0,542776.0,527329.0,309953.0,216840.0,299699.0,178447.0,223534.0,107172.0,644252.0,8372631.0,5487315.0,2885316.0
Feb-2024,3117344.0,1706049.0,781434.0,1099649.0,296278.0,537887.0,218953.0,1397141.0,906217.0,654368.0,461948.0,269989.0,227593.0,289291.0,193597.0,208778.0,183847.0,622874.0,7757594.0,5415643.0,2341951.0
Mar-2024,3155016.0,1800772.0,689367.0,1383080.0,204061.0,426446.0,152348.0,1371493.0,1051504.0,541571.0,308838.0,303490.0,279892.0,407906.0,209327.0,244595.0,147137.0,482573.0,7811090.0,5348326.0,2462764.0
Apr-2024,3387542.0,2029529.0,680379.0,1265750.0,298674.0,623995.0,226262.0,1557897.0,1051379.0,617317.0,370946.0,280734.0,274415.0,389583.0,244261.0,156980.0,180945.0,568010.0,8512131.0,5692467.0,2819664.0
May-2024,3297434.0,2110770.0,881253.0,1094048.0,303012.0,437340.0,161013.0,1473184.0,1051505.0,603646.0,476015.0,305676.0,249164.0,381206.0,225730.0,206170.0,110139.0,545176.0,8284870.0,5627611.0,2657259.0
Jun-2024,3562849.0,2025705.0,935624.0,1302653.0,423162.0,474235.0,231483.0,1585680.0,1385273.0,547872.0,357540.0,333107.0,254693.0,381417.0,195202.0,185500.0,135016.0,595804.0,8955711.0,5957104.0,2998607.0
Jul-2024,3318395.0,1982653.0,792799.0,1219416.0,290382.0,565081.0,246344.0,1556789.0,1057089.0,771516.0,426629.0,379301.0,301107.0,349388.0,199430.0,245694.0,150131.0,432455.0,8415070.0,5869529.0,2545541.0
Aug-2024,3217539.0,1954834.0,900353.0,1393729.0,315077.0,401531.0,167173.0,1491261.0,1113557.0,650714.0,446478.0,238109.0,226337.0,305137.0,169924.0,155751.0,151175.0,548024.0,8350236.0,5496467.0,2853769.0
Sep-2024,3793130.0,1778222.0,836164.0,1059589.0,298264.0,518197.0,238535.0,1398385.0,1095400.0,437989.0,344384.0,406652.0,271884.0,353790.0,199445.0,154808.0,138748.0,574090.0,8522101.0,5375575.0,3146526.0
Oct-2024,3454845.0,1892023.0,735488.0,1134468.0,241566.0,604571.0,216511.0,1318218.0,1065139.0,614916.0,396428.0,202396.0,241912.0,316142.0,191340.0,162018.0,165571.0,376888.0,8279472.0,5050968.0,3228504.0
Nov-2024,3513506.0,1930904.0,836140.0,1121578.0,357141.0,371401.0,232882.0,1446418.0,968473.0,547057.0,205524.0,292411.0,241293.0,398756.0,209682.0,116283.0,123309.0,417172.0,8363552.0,4966378.0,3397174.0
Dec-2024,3215050.0,2158568.0,953804.0,907297.0,337597.0,514771.0,275872.0,1602768.0,1075897.0,668195.0,338537.0,329416.0,293951.0,342647.0,175183.0,164227.0,146441.0,357254.0,8362959.0,5494516.0,2868443.0
